Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
data/IMG/robocam_2020_09_03_08_41_37_863.jpg;0;1;0;0.4833326;99.80185;85.7019;1.098213;40.856;-0.0006897623
data/IMG/robocam_2020_09_03_08_41_37_913.jpg;0;1;0;0.5443322;99.82652;85.7231;1.131343;40.96653;-0.001067639
data/IMG/robocam_2020_09_03_08_41_37_963.jpg;0;1;0;0.5696523;99.84466;85.73873;1.18325;40.9673;-0.0003980501
data/IMG/robocam_2020_09_03_08_41_38_013.jpg;0;1;0;0.6208649;99.87359;85.76366;1.248115;40.8601;-0.0005794228
data/IMG/robocam_2020_09_03_08_41_38_063.jpg;0;1;0;0.6406997;99.89267;85.78017;1.223126;40.80854;-0.0009950331
data/IMG/robocam_2020_09_03_08_41_38_113.jpg;0;1;0;0.6951122;99.92388;85.80702;1.192608;40.80641;-0.001040122
data/IMG/robocam_2020_09_03_08_41_38_163.jpg;0;1;0;0.720036;99.94612;85.82613;1.18823;40.85174;-0.0007682413
data/IMG/robocam_2020_09_03_08_41_38_213.jpg;0;1;0;0.7730265;99.98195;85.85686;1.212877;40.85103;-0.0003780396
data/IMG/robocam_2020_09_03_08_41_38_263.jpg;0;1;0;0.8004259;100.0067;85.87812;1.215776;40.82041;-0.0005577998
data/IMG/robocam_2020_09_03_08_41_38_314.jpg;0;1;0;0.8676321;100.0463;85.91203;1.226924;40.77993;-0.0006801333
data/IMG/robocam_2020_09_03_08_41_38_363.jpg;0;1;0;0.9039616;100.074;85.93576;1.23173;40.78105;-0.0009157237
data/IMG/robocam_2020_09_03_08_41_38_413.jpg;0;1;0;0.9482988;100.1173;85.97284;1.227341;40.78524;-0.000991672
data/IMG/robocam_2020_09_03_08_41_38_463.jpg;0;1;0;0.9805793;100.1473;85.99852;1.217265;40.78267;-0.0008631998
data/IMG/robocam_2020_09_03_08_41_38_513.jpg;0;1;0;1.024689;100.1941;86.03857;1.215382;40.81488;-0.0004860132
data/IMG/robocam_2020_09_03_08_41_38_563.jpg;0;1;0;1.061658;100.2267;86.06656;1.227846;40.81171;-0.0008628297
data/IMG/robocam_2020_09_03_08_41_38_613.jpg;0;1;0;1.109904;100.2774;86.10999;1.235203;40.80336;-0.0008685429
